selection,mutation,pop_size,gens,time,best_pop
offspring,0.2,15,300,2.3591012954711914,3602826.065
offspring,0.2,15,350,2.9515676498413086,3764052.45211
offspring,0.2,15,400,16.035792589187622,3749360.7884
offspring,0.2,15,450,12.270137548446655,3111147.51049
offspring,0.2,15,500,13.587857484817505,3531924.62147
offspring,0.2,20,50,0.5077784061431885,3182866.37327
offspring,0.2,20,100,1.017470359802246,2926112.84352
offspring,0.2,20,150,1.548478603363037,4443726.61308
offspring,0.2,20,200,2.04933762550354,3929939.82102
offspring,0.2,20,250,2.5898852348327637,4092745.74295
offspring,0.2,20,300,3.462069511413574,3411962.66503
offspring,0.2,20,350,4.7250659465789795,3584766.3243
offspring,0.2,20,400,4.569599866867065,3249893.01727
offspring,0.2,20,450,9.246340036392212,3458648.96359
offspring,0.2,20,500,26.875028371810913,3538920.44886
offspring,0.2,25,50,0.6301455497741699,4963549.1874
offspring,0.2,25,100,1.283634901046753,4949148.80294
offspring,0.2,25,150,1.9120547771453857,4655752.45958
offspring,0.2,25,200,2.5836994647979736,4542415.45712
offspring,0.2,25,250,3.243940830230713,4313947.29279
offspring,0.2,25,300,3.853381633758545,4201623.06306
offspring,0.2,25,350,4.573852777481079,4336882.07107
offspring,0.2,25,400,9.802257537841797,3839270.20495
offspring,0.2,25,450,19.633507013320923,3729494.08431
offspring,0.2,25,500,41.553189277648926,3465729.64105
offspring,0.2,30,50,0.7626552581787109,3909993.69928
offspring,0.2,30,100,1.5298349857330322,4944845.58587
offspring,0.2,30,150,2.31844425201416,4873681.46885
offspring,0.2,30,200,3.0900416374206543,4224972.52116
offspring,0.2,30,250,4.003964185714722,3840265.33053
offspring,0.2,30,300,4.8845579624176025,3701405.79224
offspring,0.2,30,350,6.922084093093872,3794252.17231
offspring,0.2,30,400,16.45215344429016,3190896.09323
offspring,0.2,30,450,11.707139492034912,3462247.93116
offspring,0.2,30,500,20.420881271362305,3634364.87667
offspring,0.2,35,50,0.8851830959320068,4041729.86618
offspring,0.2,35,100,1.809312343597412,4781127.86002
offspring,0.2,35,150,2.691574811935425,3973799.15743
offspring,0.2,35,200,3.603752851486206,4629365.70364
offspring,0.2,35,250,4.537872552871704,4500974.48142
offspring,0.2,35,300,5.494429588317871,3832972.63087
offspring,0.2,35,350,7.096947431564331,3506589.76267
offspring,0.2,35,400,8.030972957611084,4095277.46128
offspring,0.2,35,450,9.647921085357666,3912782.25499
offspring,0.2,35,500,28.865336418151855,3521909.98388
offspring,0.2,40,50,1.088186502456665,4915525.98901
offspring,0.2,40,100,2.0470423698425293,4679612.64309
offspring,0.2,40,150,3.087458848953247,4576807.86833
offspring,0.2,40,200,4.123341083526611,4845644.37087
offspring,0.2,40,250,5.1802356243133545,4132732.01315
offspring,0.2,40,300,6.713701963424683,3849898.22569
offspring,0.2,40,350,7.821543216705322,3630562.5271
offspring,0.2,40,400,13.012747764587402,4038283.04732
offspring,0.2,40,450,19.992589950561523,4020685.04942
offspring,0.2,40,500,67.2539472579956,3493725.65352
offspring,0.2,45,50,1.139176368713379,3939603.29014
offspring,0.2,45,100,2.2904512882232666,4940717.16814
offspring,0.2,45,150,3.503925323486328,4935772.246
offspring,0.2,45,200,4.686441898345947,4858832.58149
offspring,0.2,45,250,5.826350212097168,4246999.3731
offspring,0.2,45,300,7.065037727355957,3725843.43529
offspring,0.2,45,350,8.288410425186157,3720631.94905
offspring,0.2,45,400,12.37473750114441,3749114.09017
offspring,0.2,45,450,15.24912405014038,4017823.52734
offspring,0.2,45,500,27.074285984039307,3722956.77624
offspring,0.2,50,50,1.2650978565216064,4961868.0172
offspring,0.2,50,100,2.5645577907562256,4984624.93722
offspring,0.2,50,150,3.8345398902893066,4828786.79217
offspring,0.2,50,200,5.186743497848511,4397145.47052
offspring,0.2,50,250,6.459141492843628,4515506.34252
offspring,0.2,50,300,8.298411846160889,4085879.83171
offspring,0.2,50,350,9.15831470489502,3799814.32591
offspring,0.2,50,400,13.595507860183716,4292504.27182
offspring,0.2,50,450,18.120741367340088,3560835.33223
